name,time,Smoke
Sm_oke,1709336958293117458,0.00
Sm_oke,1709336959023692672,1.00
Sm_oke,1709336960790710114,1.00
Sm_oke,1709336960985462194,1.00
Sm_oke,1709336961855282326,0.00
Sm_oke,1709336962848941947,1.00
Sm_oke,1709339053066376058,1.00
Sm_oke,1709339058052672734,0.00
Sm_oke,1709339063055183413,0.00
Sm_oke,1709339068963105541,0.00
Sm_oke,1709339073970344685,0.00
Sm_oke,1709339078750747917,1.00
Sm_oke,1709339083768693475,1.00
Sm_oke,1709339088753300859,1.00
Sm_oke,1709339093766994340,0.00
Sm_oke,1709339098750351876,1.00
Sm_oke,1709339103763471340,1.00
Sm_oke,1709339108752371767,0.00
Sm_oke,1709339113777250662,1.00
Sm_oke,1709339118749024159,1.00
Sm_oke,1709339123762597303,0.00
Sm_oke,1709339128750493030,0.00
Sm_oke,1709339133775318004,0.00
Sm_oke,1709339138755098125,0.00
Sm_oke,1709339143768824899,1.00
Sm_oke,1709339148764705584,0.00
Sm_oke,1709339153771398520,1.00
Sm_oke,1709339158760341460,0.00
Sm_oke,1709339163772054789,1.00
Sm_oke,1709339594885326472,1.00
Sm_oke,1709339596581504299,1.00
Sm_oke,1709339613526155065,0.00
Sm_oke,1709711735824087504,1.00
Sm_oke,1709711735906451929,0.00
Sm_oke,1709711735960753058,0.00
Sm_oke,1709711736152736457,1.00
Sm_oke,1709711740184693499,0.00
Sm_oke,1709711740732681645,0.00
Sm_oke,1709711741128806653,1.00
Sm_oke,1709711741417400446,0.00
Sm_oke,1709711741702108359,1.00
Sm_oke,1709711743097711393,0.00
Sm_oke,1709711743198288398,0.00
Sm_oke,1709711746087610787,1.00
Sm_oke,1709711749112821369,1.00
Sm_oke,1709711957213479314,0.00
Sm_oke,1709711962106827442,1.00
Sm_oke,1709711967143510779,1.00
Sm_oke,1709711972110444982,1.00
Sm_oke,1709711977086621642,1.00
Sm_oke,1709711982079945330,0.00
Sm_oke,1709711987091380889,1.00
Sm_oke,1709711992095619661,0.00
Sm_oke,1709711997099192886,0.00
Sm_oke,1709712002104931654,1.00
Sm_oke,1709712007131771454,0.00
Sm_oke,1709712012109615425,1.00
Sm_oke,1709712017140322979,0.00
Sm_oke,1709712022141829254,1.00
Sm_oke,1709712027119855699,0.00
Sm_oke,1709712032117090004,0.00
Sm_oke,1709712037263524188,0.00
Sm_oke,1709712042241390142,0.00
Sm_oke,1709712047197897618,1.00
Sm_oke,1709712052138367755,0.00
Sm_oke,1709712057263537344,0.00
Sm_oke,1709712062188091939,1.00
Sm_oke,1709712067176119476,0.00
Sm_oke,1709712072164469905,1.00
Sm_oke,1709712077254063991,1.00
Sm_oke,1709712082216690305,0.00
Sm_oke,1709712087224004383,1.00
Sm_oke,1709712092232863124,1.00
Sm_oke,1709712097470808265,1.00
Sm_oke,1709712102302644302,1.00
Sm_oke,1709712107313541463,1.00
Sm_oke,1709712112292456210,1.00
Sm_oke,1709712117492382682,1.00
Sm_oke,1709712122347409116,1.00
Sm_oke,1709712127364696232,1.00
Sm_oke,1709712132353880461,0.00
Sm_oke,1709712137417030840,0.00
Sm_oke,1709712142382232831,0.00
Sm_oke,1709712147376076366,0.00
Sm_oke,1709712152398285923,1.00
Sm_oke,1709712157478895044,1.00
